tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab
2.959060025,3.079885204,8.381025392,9.780754432,3.763084772,-0.782603631,-1.25739483,-1.723086311,0.650456461,0.859578106,0.887444921,0.958033988,0.055347489
9.304097235,4.902524112,3.047540728,1.369357355,5.067812104,-1.940058427,-1.872741686,-1.255011992,0.413440568,0.862414076,0.562139051,0.781759911,-0.005957464
8.971706909,8.848428421,3.046478749,1.214518138,3.40515818,-1.207455592,-1.277210147,-0.920492441,0.163041039,0.766688657,0.839444015,0.109853245,0.003470879
0.716414776,7.669599644,4.486640831,2.340562984,3.963791063,-1.027473304,-1.938944153,-0.997373606,0.446208907,0.976744083,0.929380523,0.362717774,0.028870543
3.134111552,7.608771616,4.943759302,9.85757327,3.525810817,-1.125530955,-1.845974854,-0.554305008,0.797109526,0.455449947,0.656946658,0.820923486,0.049860373
6.999208709,9.109246716,3.784065909,4.267787603,4.429668823,-1.857139177,-0.670396827,-1.902132818,0.261792854,0.077929672,0.542883859,0.469931041,-0.017384907
6.710166368,3.765204184,6.929314439,8.818561923,2.397419229,-0.614589562,-1.208825891,-0.574003776,0.177889561,0.39797658,0.402045952,0.376630279,0.005953571
6.953511558,1.379125002,5.71940003,7.870307426,3.224495158,-0.748997751,-1.186516928,-1.288980478,0.371384853,0.633203555,0.732740894,0.380544479,0.016634297
4.689851927,4.007747462,1.478572876,3.733787492,4.041299614,-1.410344312,-1.238204276,-1.392751026,0.269708271,0.250364217,0.164941119,0.482439411,-0.038676584
9.841496488,1.413821592,9.769855549,7.641616263,4.727595042,-1.991363368,-0.857637207,-1.878594467,0.376355981,0.544415316,0.792039425,0.116262822,0.012383414
5.930110118,6.730873374,6.245137901,0.533287513,2.327091593,-0.702501235,-1.11691963,-0.507670728,0.239815633,0.563109594,0.164461028,0.753701356,-0.028411461
5.381299257,8.014521017,8.095174157,6.769247699,5.507551005,-1.972713854,-1.84933258,-1.685504571,0.359974025,0.173568817,0.349143851,0.628860424,0.0281302
1.616786837,2.939228107,0.819791186,4.191803849,3.752281914,-1.484884545,-1.280581451,-0.986815918,0.899698249,0.866545796,0.303920578,0.077610126,-0.048616701
8.55159821,8.314952223,2.54996383,9.926807281,4.891713735,-1.808626267,-1.167061235,-1.916026234,0.612403529,0.280982858,0.354342488,0.472192078,0.027755692
1.132107594,2.920324023,8.951078545,7.248583478,5.033680553,-1.846079542,-1.362777409,-1.824823603,0.352291991,0.524172882,0.599003856,0.674389868,0.014880432
7.021362,4.374293639,4.775904158,8.838425948,3.335857461,-0.962391781,-1.407626953,-0.965838727,0.711099508,0.625363824,0.46833497,0.895143061,0.072508356
4.952240905,8.088672352,8.883318656,5.69455722,5.067295776,-1.681414195,-1.877061288,-1.508820294,0.305662027,0.307903842,0.889893893,0.879427908,0.065617204
4.142830401,2.439089208,1.29045594,9.456443189,3.934795918,-1.469298698,-1.766941259,-0.698555961,0.800756746,0.840807129,0.917833436,0.793981812,-0.006965828
9.346125944,7.920029848,2.335276308,3.269181328,4.581173917,-1.10675268,-1.747077639,-1.727343598,0.836076238,0.713253578,0.161517854,0.515983285,0.041374406
3.931953592,9.180889708,6.064480326,6.292147426,5.363996303,-1.695084907,-1.880273178,-1.788638218,0.837263669,0.611780635,0.210692284,0.697465329,0.052781451
8.676894557,5.583325289,4.9254019,7.35621229,2.82824733,-1.396731988,-0.929289558,-0.502225784,0.595003445,0.983650729,0.245571185,0.454155494,0.06249051
7.383176629,5.253173483,0.924516572,0.744899381,3.976104678,-1.429218786,-1.424951078,-1.121934813,0.42551366,0.561165719,0.139627347,0.076750679,-0.02687787
4.541829141,1.969861575,8.513192907,7.562035559,4.362834688,-1.626413737,-1.761731222,-0.974689729,0.409785101,0.121397366,0.165887907,0.457982132,-0.01622745
5.973186478,6.043118489,5.996044984,1.076939582,3.828218114,-0.989549143,-1.07902572,-1.759643252,0.350474936,0.128154394,0.548860907,0.503974238,-0.023013134
7.253346068,7.733516623,1.621090811,7.89061038,3.567240274,-1.377854757,-1.449532302,-0.739853214,0.936087467,0.927722331,0.824221605,0.100471728,0.047860652
6.192481434,2.533877298,1.662379743,5.163923545,3.46239209,-1.355953742,-1.432845641,-0.673592707,0.168277026,0.408494818,0.328541483,0.253585837,-0.036119558
5.895693452,1.096301959,1.311731853,8.777868373,4.069169625,-1.063139214,-1.374426714,-1.631603697,0.867790602,0.141838851,0.343262439,0.711898598,0.020087756
