"","x"
"1",49.85
"2",35.39
"3",18.89
"4",18.41
"5",17.59
"6",15.92
"7",13.55
"8",11.95
"9",10.24
"10",9.25
"11",8.82
"12",8.15
"13",7.02
"14",6.9
"15",6.42
"16",6.16
"17",5.62
"18",5.42
"19",4.82
"20",4.55
"21",4.4
"22",4.34
"23",4.27
"24",3.84
"25",3.74
"26",3.19
"27",3.13
"28",3
"29",2.82
"30",2.81
"31",2.54
"32",2.5
"33",2.34
"34",2.14
"35",2.08
"36",2.08
"37",1.98
"38",1.93
"39",1.83
"40",1.78
"41",1.73
"42",1.68
"43",1.65
"44",1.61
"45",1.55
"46",1.5
"47",1.45
"48",1.36
"49",1.3
"50",1.28
"51",1.21
"52",1.2
"53",1.17
"54",1.11
"55",1.08
"56",1.05
"57",1.05
"58",1
"59",0.98
"60",0.94
"61",0.92
"62",0.91
"63",0.89
"64",0.87
"65",0.83
"66",0.82
"67",0.8
"68",0.77
"69",0.75
"70",0.73
"71",0.7
"72",0.7
"73",0.68
"74",0.67
"75",0.66
"76",0.65
"77",0.63
"78",0.61
"79",0.59
"80",0.59
"81",0.59
"82",0.56
"83",0.55
"84",0.54
"85",0.53
"86",0.51
"87",0.5
"88",0.5
"89",0.48
"90",0.48
"91",0.47
"92",0.45
"93",0.44
"94",0.44
"95",0.43
"96",0.43
"97",0.42
"98",0.41
"99",0.4
"100",0.4
"101",0.39
"102",0.38
"103",0.38
"104",0.38
"105",0.38
"106",0.37
"107",0.36
"108",0.36
"109",0.36
"110",0.34
"111",0.34
"112",0.33
"113",0.33
"114",0.32
"115",0.31
"116",0.31
"117",0.3
"118",0.3
"119",0.3
"120",0.29
"121",0.29
"122",0.29
"123",0.28
"124",0.28
"125",0.27
"126",0.27
"127",0.27
"128",0.26
"129",0.26
"130",0.25
"131",0.25
"132",0.25
"133",0.24
"134",0.24
"135",0.24
"136",0.23
"137",0.23
"138",0.23
"139",0.22
"140",0.22
"141",0.22
"142",0.21
"143",0.21
"144",0.21
"145",0.21
"146",0.2
"147",0.2
"148",0.2
"149",0.2
"150",0.19
"151",0.19
"152",0.19
"153",0.19
"154",0.19
"155",0.18
"156",0.18
"157",0.18
"158",0.18
"159",0.18
