"","x"
"1",0.12
"2",0.21
"3",0.26
"4",0.31
"5",0.35
"6",0.39
"7",0.42
"8",0.45
"9",0.48
"10",0.5
"11",0.52
"12",0.55
"13",0.56
"14",0.58
"15",0.6
"16",0.61
"17",0.63
"18",0.64
"19",0.65
"20",0.66
"21",0.67
"22",0.68
"23",0.69
"24",0.7
"25",0.71
"26",0.72
"27",0.73
"28",0.74
"29",0.74
"30",0.75
"31",0.76
"32",0.76
"33",0.77
"34",0.77
"35",0.78
"36",0.79
"37",0.79
"38",0.8
"39",0.8
"40",0.8
"41",0.81
"42",0.81
"43",0.82
"44",0.82
"45",0.82
"46",0.83
"47",0.83
"48",0.84
"49",0.84
"50",0.84
"51",0.84
"52",0.85
"53",0.85
"54",0.85
"55",0.86
"56",0.86
"57",0.86
"58",0.86
"59",0.87
"60",0.87
"61",0.87
"62",0.87
"63",0.88
"64",0.88
"65",0.88
"66",0.88
"67",0.88
"68",0.89
"69",0.89
"70",0.89
"71",0.89
"72",0.89
"73",0.89
"74",0.9
"75",0.9
"76",0.9
"77",0.9
"78",0.9
"79",0.9
"80",0.91
"81",0.91
"82",0.91
"83",0.91
"84",0.91
"85",0.91
"86",0.91
"87",0.92
"88",0.92
"89",0.92
"90",0.92
"91",0.92
"92",0.92
"93",0.92
"94",0.92
"95",0.92
"96",0.93
"97",0.93
"98",0.93
"99",0.93
"100",0.93
"101",0.93
"102",0.93
"103",0.93
"104",0.93
"105",0.93
"106",0.94
"107",0.94
"108",0.94
"109",0.94
"110",0.94
"111",0.94
"112",0.94
"113",0.94
"114",0.94
"115",0.94
"116",0.94
"117",0.94
"118",0.95
"119",0.95
"120",0.95
"121",0.95
"122",0.95
"123",0.95
"124",0.95
"125",0.95
"126",0.95
"127",0.95
"128",0.95
"129",0.95
"130",0.95
"131",0.95
"132",0.95
"133",0.96
"134",0.96
"135",0.96
"136",0.96
"137",0.96
"138",0.96
"139",0.96
"140",0.96
"141",0.96
"142",0.96
"143",0.96
"144",0.96
"145",0.96
"146",0.96
"147",0.96
"148",0.96
"149",0.96
"150",0.96
"151",0.96
"152",0.97
"153",0.97
"154",0.97
"155",0.97
"156",0.97
"157",0.97
"158",0.97
"159",0.97
"160",0.97
"161",0.97
"162",0.97
"163",0.97
"164",0.97
"165",0.97
"166",0.97
"167",0.97
"168",0.97
"169",0.97
"170",0.97
"171",0.97
"172",0.97
"173",0.97
"174",0.97
"175",0.98
"176",0.98
"177",0.98
"178",0.98
"179",0.98
"180",0.98
"181",0.98
"182",0.98
"183",0.98
"184",0.98
"185",0.98
"186",0.98
"187",0.98
"188",0.98
"189",0.98
"190",0.98
"191",0.98
"192",0.98
"193",0.98
"194",0.98
"195",0.98
"196",0.98
"197",0.98
"198",0.98
"199",0.98
"200",0.98
"201",0.98
"202",0.98
"203",0.98
"204",0.98
"205",0.98
"206",0.98
"207",0.99
"208",0.99
"209",0.99
"210",0.99
"211",0.99
"212",0.99
"213",0.99
"214",0.99
"215",0.99
"216",0.99
"217",0.99
"218",0.99
"219",0.99
"220",0.99
"221",0.99
"222",0.99
"223",0.99
"224",0.99
"225",0.99
"226",0.99
"227",0.99
"228",0.99
"229",0.99
"230",0.99
"231",0.99
"232",0.99
"233",0.99
"234",0.99
"235",0.99
"236",0.99
"237",0.99
"238",0.99
"239",0.99
"240",0.99
"241",0.99
"242",0.99
"243",0.99
"244",0.99
"245",0.99
"246",0.99
"247",0.99
"248",0.99
"249",0.99
"250",0.99
"251",0.99
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
