"","x"
"1",98.94
"2",105.92
"3",107.4
"4",107.47
"5",109.54
"6",110.95
"7",110.58
"8",112.1
"9",114.09
"10",116.16
"11",116.53
"12",114.8
"13",113.02
"14",110.66
"15",111.14
"16",111.09
"17",110.67
"18",109.84
"19",105.35
"20",98.73
"21",95.6
"22",102.1
"23",105.21
"24",108.44
"25",109.62
"26",110.11
"27",108.73
"28",108.02
"29",108.27
"30",110.56
"31",110.42
"32",109.44
"33",109.44
"34",110.31
"35",111.21
"36",109.9
"37",109.55
"38",107.89
"39",103.03
"40",94.91
"41",91.96
"42",99.82
"43",105.7
"44",111.35
"45",112.91
"46",111.28
"47",109.3
"48",108.16
"49",107.42
"50",110.28
"51",110.87
"52",108.64
"53",108.79
"54",110.27
"55",112.31
"56",113.93
"57",112.78
"58",107.97
"59",100.8
"60",92.53
"61",91.91
"62",100.54
"63",107.77
"64",112.91
"65",112.76
"66",110.27
"67",106.78
"68",103.79
"69",103.87
"70",106.44
"71",107.01
"72",103.7
"73",103.78
"74",105.63
"75",109.37
"76",112.75
"77",113.81
"78",110.06
"79",102.66
"80",92.82
"81",92.93
"82",102.21
"83",108.02
"84",110.54
"85",110.07
"86",106.45
"87",102.25
"88",99.32
"89",99.34
"90",101.95
"91",102.46
"92",99.31
"93",98.87
"94",101.46
"95",105.92
"96",110.54
"97",112.24
"98",110.97
"99",104.74
"100",93.89
"101",95.57
"102",104.89
"103",108.45
"104",110.86
"105",110.3
"106",107.22
"107",103.69
"108",102.14
"109",101.78
"110",104.29
"111",105.17
"112",101.59
"113",101
"114",103.33
"115",106.38
"116",110.24
"117",112.17
"118",111.24
"119",108.21
"120",98.08
"121",98.21
"122",106.14
"123",108.92
"124",111.57
"125",110.92
"126",107.22
"127",104.5
"128",103.53
"129",103.44
"130",106.93
"131",106.68
"132",103.35
"133",103.06
"134",104.8
"135",107.26
"136",110.33
"137",111.67
"138",110.16
"139",108.3
"140",99.92
"141",102.82
"142",108.63
"143",110.6
"144",113.22
"145",112.05
"146",108.81
"147",107.02
"148",106.28
"149",105.7
"150",109.42
"151",109.7
"152",106.9
"153",106.5
"154",107.35
"155",109.2
"156",111.44
"157",112.25
"158",109.45
"159",109.29
"160",102.73
"161",105.15
"162",110.11
"163",110.86
"164",112
"165",110.9
"166",107.72
"167",105.69
"168",105.04
"169",105.61
"170",108.71
"171",110.02
"172",107.8
"173",107.41
"174",108.54
"175",110.18
"176",111.33
"177",111.08
"178",109.8
"179",109.74
"180",105.09
"181",107.5
"182",113.82
"183",112.79
"184",112.83
"185",112.16
"186",110.46
"187",109.4
"188",109.03
"189",108.93
"190",112.82
"191",113.26
"192",109.97
"193",111.02
"194",112.04
"195",113.18
"196",113.3
"197",112.78
"198",111.47
"199",112.34
"200",107.68
"201",108.93
"202",114.14
"203",112.01
"204",112.07
"205",111.45
"206",108.27
"207",106.26
"208",105.46
"209",106.2
"210",110.59
"211",110.84
"212",108.59
"213",109.48
"214",111.16
"215",112.48
"216",113.19
"217",112.98
"218",112.11
"219",113.64
"220",109.29
"221",110.83
"222",113.36
"223",111.39
"224",111.5
"225",109.6
"226",105.68
"227",102.15
"228",101.92
"229",103.49
"230",107.86
"231",108.82
"232",106.47
"233",106.69
"234",108.31
"235",109.73
"236",111.37
"237",113.42
"238",113
"239",113.8
"240",110.62
"241",109.82
"242",113.7
"243",111.96
"244",111.51
"245",109.3
"246",105.11
"247",101.9
"248",102.67
"249",103.4
"250",108.8
"251",110.11
"252",106.34
"253",106.48
"254",106.4
"255",108.86
"256",111.34
"257",113.58
"258",113.39
"259",114.6
"260",110.31
"261",109.07
"262",113.82
"263",112.47
"264",112.1
"265",109.75
"266",105.62
"267",102.72
"268",103.41
"269",103.67
"270",108.84
"271",109.9
"272",105.78
"273",105.21
"274",105.17
"275",108.13
"276",111.04
"277",113.68
"278",113.5
"279",114.21
"280",109.43
"281",105.94
"282",112.62
"283",111.63
"284",111.98
"285",109.99
"286",106.1
"287",102.26
"288",102.08
"289",102.62
"290",107.53
"291",108.59
"292",103.84
"293",102.79
"294",103.64
"295",107.72
"296",110.74
"297",113.4
"298",112.84
"299",112.36
"300",106.1
"301",101.09
"302",109.55
"303",110.56
"304",111.15
"305",109.47
"306",104.42
"307",100.63
"308",99
"309",100.06
"310",105.56
"311",106.59
"312",101.85
"313",101.75
"314",103.72
"315",106.98
"316",110.2
"317",112.37
"318",111.57
"319",109.61
"320",101.34
"321",96.95
"322",106.37
"323",111.24
"324",113.12
"325",111.72
"326",106.39
"327",102.52
"328",99.94
"329",101.14
"330",105.99
"331",107.34
"332",103.11
"333",103.88
"334",106.19
"335",109.06
"336",111.98
"337",112.58
"338",109.96
"339",105.47
"340",97.31
"341",98.28
"342",106.6
"343",111.17
"344",112.89
"345",113.58
"346",110.69
"347",108.43
"348",107.39
"349",107.83
"350",110.96
"351",111.2
"352",108.02
"353",108.3
"354",109.67
"355",111.1
"356",112.23
"357",110.69
"358",107.41
"359",103.37
"360",96.04
"361",98.67
"362",105.65
"363",109.72
"364",110.29
"365",111.11
"366",111.32
"367",109.28
"368",108.62
"369",108.4
"370",110.02
"371",110.22
"372",108.67
"373",107.56
"374",107.8
"375",108.95
"376",108.11
"377",108.33
"378",107.43
"379",104.65
"380",97.77
"381",104.28
"382",107.66
"383",110.15
"384",110.96
"385",112.28
"386",112.32
"387",111.62
"388",113.45
"389",114.71
"390",115.29
"391",115.36
"392",114.43
"393",111.09
"394",108.13
"395",109.06
"396",108.35
"397",106.91
"398",107.47
"399",106.22
"400",102.98
